node,total_fee,degree,capacity
0232e20e7b68b9b673fb25f48322b151a93186bffe4550045040673797ceca43cf,66.0,506,412091125.0
0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c,44.044,896,721172455.5
028dcc199be86786818c8c32bffe9db8855c5fca98951eec99d1fa335d841605c2,31.900000000000002,396,135883196.5
0279c22ed7a068d10dc1a38ae66d2d6461e269226c60258c021b1ddcdfe4b00bc4,27.0,1228,1264434465.0
03e50492eab4107a773141bb419e107bda3de3d55652e6e1a41225f06a0bbf2d56,24.5,553,588824711.0
02cdf83ef8e45908b1092125d25c68dcec7751ca8d39f557775cd842e5bc127469,15.014999999999999,763,229382583.5
03d37fca0656558de4fd86bbe490a38d84a46228e7ec1361801f54f9437a18d618,14.0,727,1420483186.5
02247d9db0dfafea745ef8c9e161eb322f73ac3f8858d8730b6fd97254747ce76b,14.0,388,801678703.5
032679fec1213e5b0a23e066c019d7b991b95c6e4d28806b9ebd1362f9e32775cf,13.0,649,1332246687.5
031ce29116eab7edd66148f5169f1fb658fad62bdc5091221ab895fe5d36db00b2,12.0,447,840466290.5
03da1c27ca77872ac5b3e568af30673e599a47a5e4497f85c7b5da42048807b3ed,12.0,406,830979072.5
0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266,11.011,617,247639451.5
032b2b3f4abda9677bb9563e226c068d3a2456fb8b036635a81c9bcaa1671d1ada,11.011,514,85624317.0
030c3f19d742ca294a55c00376b3b355c3c90d61c6b6b39554dbc7ac19b141c14f,11.011,497,894384558.0
03cb7983dc247f9f81a0fa2dfa3ce1c255365f7279c8dd143e086ca333df10e278,10.020000000000001,592,730335509.5
031678745383bd273b4c3dbefc8ffbf4847d85c2f62d3407c0c980430b3257c403,9.008999999999999,346,337077191.5
0390b5d4492dc2f5318e5233ab2cebf6d48914881a33ef6a9c6bcdbb433ad986d0,9.0,705,1491462479.5
03c2abfa93eacec04721c019644584424aab2ba4dff3ac9bdab4e9c97007491dda,8.008,311,161726137.5
023f5e3582716bed96f6f26cfcd8037e07474d7b4743afdc8b07e692df63464d7e,8.008,46,20641120.5
0391489a933ab83094d1af43b3df3e8c8d467474649361912f05211d0e68a28fc9,7.007,229,161190312.0
03ccfa463aa95e16fad96da31771d63f21efcf6e677483268aa58416c43aba8f41,7.007,12,587500.0
0327049d8d63f0c40193cdf3afc61817c8647808a4e482de0716fcef74e6d92ebf,7.003,275,138852961.0
03e5ea100e6b1ef3959f79627cb575606b19071235c48b3e7f9808ebcd6d12e87d,7.0,387,765215479.0
03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d,6.187999999999999,733,408178622.0
021607cfce19a4c5e7e6e738663dfafbbbac262e4ff76c2c9b30dbeefc35c00643,6.168,580,290576512.0
03bc9337c7a28bb784d67742ebedd30a93bacdf7e4ca16436ef3798000242b2251,6.0,412,823690405.0
024d2387409269f3b79e2708bb39b895c9f4b6a8322153af54eba487d4993bf60f,6.0,417,826774458.0
03fce165537aea120bffe8505876b44d5119354f825b3eac329b761fc5636bf334,6.0,415,847028767.0
0311cad0edf4ac67298805cf4407d94358ca60cd44f2e360856f3b1c088bcd4782,6.0,298,814626249.5
031c9a7f2243a1aaa88ea00665760cf8e74a4614d9657316b992dc350d624b22d4,5.5,19,58850000.0
03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f_1,5.5,512,672026543.5
0394396e6e8cf8d9f91de4269dfd2e8416b93b91cae6139057c7283b463e4bfa31,5.05,178,16967964.0
036ac04a69f2ab587fd83c4f2aca255a81f138276fbca344ac3ecfae28d733be56,5.004999999999999,91,43909360.5
029d50d59c78b81a39f4ca40b6bc9b89710542a31429b69aa075b91b587979205d,5.004999999999999,90,15712787.0
03a21c0c2a4fdc1179f07710c32fe49804d3e2b0b1bdc760dc11cbf116da3bb363,5.004999999999999,25,9400922.5
03f9ceb115a119594b4688ceed35feb80f33a3dd0f5cf688a7493c1a7217633931,5.004999999999999,75,10710000.0
031157d786ca2fb7b86f330366db3e0bb6925b336d285ed40705976eaa68ead610,5.004999999999999,28,950000.0
0205823109f3d6e1ac5f3e5ab41ab88bf463ffa7b59a81d07d8b688fb737e11955,5.004999999999999,144,115140905.5
02c91d6aa51aa940608b497b6beebcb1aec05be3c47704b682b3889424679ca490,5.0,386,827867798.5
028a8e53d70bc0eb7b5660943582f10b7fd6c727a78ad819ba8d45d6a638432c49,5.0,416,847234684.5
