node,total_fee,degree,capacity
0279c22ed7a068d10dc1a38ae66d2d6461e269226c60258c021b1ddcdfe4b00bc4,54.0,1224,1264434465.0
028dcc199be86786818c8c32bffe9db8855c5fca98951eec99d1fa335d841605c2,52.800000000000004,396,135883196.5
0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c,46.04599999999999,898,721172455.5
0232e20e7b68b9b673fb25f48322b151a93186bffe4550045040673797ceca43cf,33.0,507,412091125.0
0390b5d4492dc2f5318e5233ab2cebf6d48914881a33ef6a9c6bcdbb433ad986d0,24.0,706,1491462479.5
0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266,19.019,610,247639451.5
03e50492eab4107a773141bb419e107bda3de3d55652e6e1a41225f06a0bbf2d56,17.5,546,588824711.0
031ce29116eab7edd66148f5169f1fb658fad62bdc5091221ab895fe5d36db00b2,16.0,446,840466290.5
03cb7983dc247f9f81a0fa2dfa3ce1c255365f7279c8dd143e086ca333df10e278,13.360000000000001,587,730335509.5
03bc9337c7a28bb784d67742ebedd30a93bacdf7e4ca16436ef3798000242b2251,13.0,418,823690405.0
02cdf83ef8e45908b1092125d25c68dcec7751ca8d39f557775cd842e5bc127469,12.011999999999999,763,229382583.5
03c2abfa93eacec04721c019644584424aab2ba4dff3ac9bdab4e9c97007491dda,12.011999999999999,306,161726137.5
032679fec1213e5b0a23e066c019d7b991b95c6e4d28806b9ebd1362f9e32775cf,12.0,646,1332246687.5
02247d9db0dfafea745ef8c9e161eb322f73ac3f8858d8730b6fd97254747ce76b,12.0,390,801678703.5
02df5ffe895c778e10f7742a6c5b8a0cefbe9465df58b92fadeb883752c8107c8f,11.11,225,104234070.0
03d37fca0656558de4fd86bbe490a38d84a46228e7ec1361801f54f9437a18d618,10.0,731,1420483186.5
03e5ea100e6b1ef3959f79627cb575606b19071235c48b3e7f9808ebcd6d12e87d,10.0,392,765215479.0
032b2b3f4abda9677bb9563e226c068d3a2456fb8b036635a81c9bcaa1671d1ada,9.008999999999999,524,85624317.0
03fb822818be083e0a954db85257a2911a3d55458b8c1ea4124b157e865a836d12,9.0,448,874642189.0
03da1c27ca77872ac5b3e568af30673e599a47a5e4497f85c7b5da42048807b3ed,9.0,411,830979072.5
03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,8.8,936,1334028258.5
03205b045b0126c0d3fb826a38b9befc4babf51689544908c704d8e51fdec75ffb,8.4,118,78453830.0
021607cfce19a4c5e7e6e738663dfafbbbac262e4ff76c2c9b30dbeefc35c00643,8.224,580,290576512.0
026ba4fea7ba82e578ce294bd168daa25f7950db0409c15145036f25c905ccfd9a,8.008,10,2185709.5
02c91d6aa51aa940608b497b6beebcb1aec05be3c47704b682b3889424679ca490,8.0,387,827867798.5
0225313f6c76ba1fff4bb1d67e6333eb6b514dc7af60346f585cc7dd9ed7cc13f4,7.007,23,8412274.5
02c69a0b4cb468660348d6d457d9212563ad08fb94d424395da6796fb74a13f276,7.007,155,102313362.0
03ccfa463aa95e16fad96da31771d63f21efcf6e677483268aa58416c43aba8f41,7.007,14,587500.0
030c3f19d742ca294a55c00376b3b355c3c90d61c6b6b39554dbc7ac19b141c14f,7.007,488,894384558.0
02cf3cc45d8fee5055c4ba5a58fe22ae973685fa2cb43e2c5b6454eaa1d08066a8,7.007,30,25163466.0
03fce165537aea120bffe8505876b44d5119354f825b3eac329b761fc5636bf334,7.0,415,847028767.0
03b2312fa65b43b9ebc6d824af6ac0ad2cee7a490fd3a79af25f7a77bdd6f25c42,6.005999999999999,105,14900000.0
0303a518845db99994783f606e6629e705cfaf072e5ce9a4d8bf9e249de4fbd019,6.0,413,828741159.5
03dab87ff8635982815c4567eb58af48f9944d11c56beb12b91e1049aaea06e187,6.0,283,820800836.5
0290fb6ecd5865f7a973e1d48ffbc2612f80f6a2defbd6a188928bd0492bc2847e,5.352,81,72291854.0
032cc4541b25e86e39a7d450a979c1a9adbe2878df3a93fcb59c96c700bfe26aa3,5.09,386,151862060.5
03f47ba61341a704b0910b6d1fc8a938bb97152e8df94dfc142816d2721b5d5c73,5.05,176,4030768.5
02964c50e89786896df7e5d10d7bb6995b0bbdaf891ff24fbcc52b75aae544e514,5.004999999999999,51,16086093.5
021d9deaf090a021c6e464e3becc5296161e8aaf5de3c7a1d517838cd74525834f,5.004999999999999,96,75294631.5
0354fcd9f1554f3505238e1b3c29223868953730c30b6565ad482dc31e90bcfa93,5.004999999999999,8,8913607.5
024d2387409269f3b79e2708bb39b895c9f4b6a8322153af54eba487d4993bf60f,5.0,417,826774458.0
03c2c348fac3e4953a797ba632ae8379bd4ae0ccc8d2598b7207eb62019fcbd875,4.004,53,33609881.5
0205823109f3d6e1ac5f3e5ab41ab88bf463ffa7b59a81d07d8b688fb737e11955,4.004,145,115140905.5
0356c02ffe265f8ff38471e901785528d3da0668cd0a590ed67ee809d929c9bfd4,4.004,48,48145646.0
0234c548106512a0b93b2555d2638bc2fed3e6b091f75298383356258996230d92,4.004,71,43564682.5
03c80be3937717b502e66dc6cf8ba2881c9e68a8398bfa08c2866babfc88a729f3,4.004,96,48562778.5
022c260f9ad58196af280c80a96ec9eabf6404df59ff1a7553b0f381c875a29ba0,4.0,305,867336660.5
0311cad0edf4ac67298805cf4407d94358ca60cd44f2e360856f3b1c088bcd4782,4.0,298,814626249.5
02de367d7c2610a3f2d5b831ffdf6b5fe07b5b47a539b68b2976b5a807777d1456,3.507,16,23850000.0
03780bc0d405f8e9695a4474a03ed3314d761cfa3baf3ea8351c025d66399f969d,3.3000000000000003,87,50491907.5
03f8ab9b7496be92ce370e0224661d5d2de80bca8f505d66f1226d0e6002007d2a,3.3000000000000003,230,7878723.0
02ef8eee471a04b6f5bc9eb69a2ea9625e71f3b93a5ee7dc6350474730cd1f29c9,3.0300000000000002,8,4610000.0
02c4fec754506ea170712588600bf23f11fa123aa6b0eaf1e3617c1e6a6cd02848,3.0300000000000002,8,7352879.5
03db39d2f0bff36f69969807f54829e82073afb88f0fd2996e61d245a797169a28,3.0300000000000002,9,1327500.0
02588bb45bbfa7496510115c97e743302c28de881cf135a7253edac6de0d57924c,3.0300000000000002,18,6340560.0
0314dc1c496290a33f8fba3e78332418b1c136d9fb2a14d4a181e3cc9a653ee2f8,3.0029999999999997,58,28484082.0
03abf6f44c355dec0d5aa155bdbdd6e0c8fefe318eff402de65c6eb2e1be55dc3e,3.0029999999999997,478,453421340.5
023e8b9d0c52dc22d07f70a69624e2457df5760ca0b4d87a5df460b08863f46448,3.0029999999999997,260,30590000.0
03f456e8c3479654da4498b64c1aa80656a33561d52f3444f5930f5c4a410a6fb6,3.0029999999999997,50,14302974.5
02b3877314aff657216ceac039244fe94e7116af10cfffac0232fefa5903c62a58,3.0029999999999997,89,59780523.0
0251a08c8f96c02bac929be2fd91b6ae714b1b90fa29a11833d6f226ac9e5071ef,3.0029999999999997,11,382210.5
03deedbfee762a68a44d2587560507e513ac185908728aaf053ad4a3c096d8acb0,3.0029999999999997,59,23283875.0
03a8334aba5660e241468e2f0deb2526bfd50d0e3fe808d882913e39094dc1a028,3.0029999999999997,89,77190077.0
0353308936d64e44970186cb43f215fbce1e2ab8631da17c545fadb0a79312229c,3.0029999999999997,37,4858812.5
031d244a60d61936834f290656cdf0ed4b9979260c19b07804bde681819f8e14ca,3.0029999999999997,102,32481189.5
03a5886df676f3b3216a4520156157b8d653e262b520281d8d325c24fd8b456b9c,3.0029999999999997,219,32626782.0
02529db69fd2ebd3126fb66fafa234fc3544477a23d509fe93ed229bb0e92e4fb8,2.688,992,398888289.5
02f45d28f3477a408d0d3e18a6cdedae9d58df18cf271ac84a0ce7d00699f38d19,2.4,63,24871930.5
03649c72a4816f0cd546f84aafbd657e92a30ab474de7ab795e8b5650a427611f7,2.02,151,167865760.0
0394396e6e8cf8d9f91de4269dfd2e8416b93b91cae6139057c7283b463e4bfa31,2.02,178,16967964.0
0391489a933ab83094d1af43b3df3e8c8d467474649361912f05211d0e68a28fc9,2.002,234,161190312.0
02e4aaf7c4f4b8ccb105ddf90ff991a76d43a2b732bac12dda043add4ef51846ed,2.002,22,12278057.5
02b4cb8be9077c3b14d6aa575bc94adbc0e08f9f2dedfbc5774ded9095079740f0,2.002,45,40242606.0
0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3,2.002,383,256434770.0
02445ff6a24e69242d6f6f38e1b7e8ae9c01eb9b660f3daf3304cb4b7cfeb79a99,2.002,130,65720482.5
02004c625d622245606a1ea2c1c69cfb4516b703b47945a3647713c05fe4aaeb1c,2.002,111,63220718.5
0251b2c9d22f3621f27188d8236db84d9fd84d42adac063b2633744638b81f34ac,2.002,191,18981145.5
