node,total_fee,degree,capacity
03a503d8e30f2ff407096d235b5db63b4fcf3f89a653acb6f43d3fc492a7674019,3000.3,516,460076441.5
02315fe3619ffdea2561bcacecada87b226723f471a59fdbfec18c4e84bcf785b2,78.004,710,217623097.0
023d70f2f76d283c6c4e58109ee3a2816eb9d8feb40b23d62469060a2b2867b77f,65.0,1283,488380732.5
03e691f81f08c56fa876cc4ef5c9e8b727bd682cf35605be25d48607a802526053,63.588,664,271691753.5
03c8dfbf829eaeb0b6dab099d87fdf7f8faceb0c1b935cd243e8c1fb5af71361cf,63.027,886,195085198.0
03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,26.980000000000004,3576,20484370989.5
035e4ff418fc8b5554c5d9eea66396c227bd429a3251c8cbc711002ba215bfc226,25.6,4032,8828416577.0
03a6680e79e30f050d4f32f1fb9d046cc6efb5ed4cc99eeedba6b2e89cbf838691,25.1,113,54146138.5
02a0591e848d24246a349fe61c5d7a86bab7c3d9598366675b9c91deb3e31ddf57,24.0,131,39378785.5
0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3,20.019999999999996,2298,1720036871.0
030c3f19d742ca294a55c00376b3b355c3c90d61c6b6b39554dbc7ac19b141c14f,19.5,1006,3066688729.0
0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266,18.017999999999997,2051,386672184.0
02cc79b8d771cc79d323bd71e54ef1780cab50e7c0ef2a4beb625fc9dcbbcc6d24,13.012999999999998,286,67765723.5
037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,12.52,2166,9624846171.5
02dbd0003ee6a9b810ca99912b468ce15ca85cc4949ff2a2d1b2b347d50a89ef31,11.001999999999999,82,4925000.0
02cfdc6b60e5931d174a342b20b50d6a2a17c6e4ef8e077ea54069a3541ad50eb0,10.009999999999998,248,61959998.0
02f5c3900821c8245d7a8991a39188060da0f65e6133a9ceb0415e09ed572255e1,10.001,65,3100000.0
0318ac9faa9629e7da08819bc8fe0dd2ae3044d69b1b2283a63479acffeb968483,9.309,442,291489582.5
030ca78c529408bd58344a22fb0e8b60890892abda16016bb1fe9878375a6a8a69,9.0,68,6350000.0
031f2669adab71548fad4432277a0d90233e3bc07ac29cfb0b3e01bd3fb26cb9fa,7.801,567,452807896.5
03df3f0a2fd6bea5429a596461ce784c922b2981ada1af89cfefcd9ccfb16c16a7,7.007,1282,1221053186.0
030b252eb8bb0f5e79af393d26dd5204f3c525af8b84043c4f5fcd7c9482c15a23,6.0,57,3350000.0
03abf6f44c355dec0d5aa155bdbdd6e0c8fefe318eff402de65c6eb2e1be55dc3e,5.4,741,3130132837.0
0357853bbdbeda5b662783f391f29bd10194e2254d0f091eb4116a0b405001dd52,5.004999999999999,127,72526809.5
03c2abfa93eacec04721c019644584424aab2ba4dff3ac9bdab4e9c97007491dda,5.004999999999999,819,659021598.5
029e4efe809b4f0acad6f3304c0e43a3f40fe661745fc41d9ae91d4e187857bc94,5.004999999999999,7,2300000.0
02670f5f69f2ad0135cf121cc7b882f2f3aef32df1c6b4bf7dbbd7542a12320296,4.508,5,1749939.0
03d607f3e69fd032524a867b288216bfab263b6eaee4e07783799a6fe69bb84fac,4.2,786,8999663026.5
02c466261c366bf2a8292f96ba8f0809146efedbfbb26b9ca5700c93c7e79b9953,4.012,120,15032112.5
03afa7a8196dbca763ee6f9a34b634a7adc03f154e5d6979fe654db5606b5fb2b1,4.004,337,472684592.5
0374eb2306a27dffd657c781065bd11785588f4811c4949070f8aed79e95a97db4,4.004,24,6584561.5
02584f89ea900fd1807a3b133e8d986f05800be065a30056c94fcbf5683dfcea2d,4.004,22,7024977.0
02473eb084d0410351e343547c68dac1961d1c8e18d0da3c1e4888d113d8f8eab8,4.0009999999999994,59,2850000.0
03bf2ff8699e5528f65d41656d405c4002dd2415e4491e945fd465890bc3a9ce23,4.0,10,2523675.0
02e5fcc49e72e64ce5f48bbe3e4e4ed3a00086b6ecd0ffa15d58ff22adeca781f2,3.5999999999999996,33,4732193.5
035fed4182fbd0725264f8a0018cabb6b25514dd231291162ac8dd63afb278e9e8,3.135,132,212218791.0
02b21ca992bf95e3f324302265ad86cec24f36166fd7afca44efa0809aaa8b25c5,3.0989999999999998,338,411292509.5
03ca5340cf85cb2e7cf076e489f785410838de174e40be62723e8a60972ad75144,3.0300000000000002,6,7192432.0
02108182a754e0d0e42e7dcbc9d79f145e51afcc3b49ee6a2463d8999274f8aa4f,3.0029999999999997,12,1255539.0
02004c625d622245606a1ea2c1c69cfb4516b703b47945a3647713c05fe4aaeb1c,3.0029999999999997,246,69974386.0
