node,total_income,total_traffic,failed_traffic_ratio,opt_delta,income_diff
0232e20e7b68b9b673fb25f48322b151a93186bffe4550045040673797ceca43cf,49282.0,82,0.2073170731707317,0.0,0.0
0279c22ed7a068d10dc1a38ae66d2d6461e269226c60258c021b1ddcdfe4b00bc4,30000.0,500,0.06,0.0,0.0
03e50492eab4107a773141bb419e107bda3de3d55652e6e1a41225f06a0bbf2d56,18724.0,124,0.1532258064516129,0.0,0.0
03a503d8e30f2ff407096d235b5db63b4fcf3f89a653acb6f43d3fc492a7674019,4612.5,75,0.24,0.0,0.0
03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,3934.0,562,0.0498220640569395,53.0,8306.0
032679fec1213e5b0a23e066c019d7b991b95c6e4d28806b9ebd1362f9e32775cf,3019.5,99,0.04040404040404041,0.0,0.0
03d37fca0656558de4fd86bbe490a38d84a46228e7ec1361801f54f9437a18d618,2867.0,94,0.14893617021276595,0.0,0.0
0390b5d4492dc2f5318e5233ab2cebf6d48914881a33ef6a9c6bcdbb433ad986d0,2440.0,80,0.1375,0.0,0.0
028a8e53d70bc0eb7b5660943582f10b7fd6c727a78ad819ba8d45d6a638432c49,2409.5,79,0.10126582278481013,0.0,0.0
03fb822818be083e0a954db85257a2911a3d55458b8c1ea4124b157e865a836d12,1586.0,52,0.23076923076923078,0.0,0.0
0303a518845db99994783f606e6629e705cfaf072e5ce9a4d8bf9e249de4fbd019,1586.0,52,0.038461538461538464,0.0,0.0
02308c54b63e2c1375a52ce6ca27b171188f99e7c274eaf14be396289d93fb6003,1305.0,9,0.0,0.0,0.0
03bc9337c7a28bb784d67742ebedd30a93bacdf7e4ca16436ef3798000242b2251,1281.0,42,0.07142857142857142,0.0,0.0
02247d9db0dfafea745ef8c9e161eb322f73ac3f8858d8730b6fd97254747ce76b,1281.0,42,0.0,0.0,0.0
022c260f9ad58196af280c80a96ec9eabf6404df59ff1a7553b0f381c875a29ba0,1189.5,39,0.20512820512820512,0.0,0.0
030995c0c0217d763c2274aa6ed69a0bb85fa2f7d118f93631550f3b6219a577f5,1189.5,39,0.10256410256410256,0.0,0.0
031ce29116eab7edd66148f5169f1fb658fad62bdc5091221ab895fe5d36db00b2,1128.5,37,0.02702702702702703,0.0,0.0
028dcc199be86786818c8c32bffe9db8855c5fca98951eec99d1fa335d841605c2,1106.0,158,0.7151898734177216,594.0,67408.0
039edc94987c8f3adc28dab455efc00dea876089a120f573bd0b03c40d9d3fb1e1,1067.5,35,0.11428571428571428,0.0,0.0
02c91d6aa51aa940608b497b6beebcb1aec05be3c47704b682b3889424679ca490,976.0,32,0.125,572.85,2644.1000000000004
022755c3ff4e5a1d71f573cda4b315887fc00a9e5c9ea9a847d939f3e517e69a70,945.5,31,0.0967741935483871,0.0,0.0
03fce165537aea120bffe8505876b44d5119354f825b3eac329b761fc5636bf334,823.5,27,0.037037037037037035,0.0,0.0
0311cad0edf4ac67298805cf4407d94358ca60cd44f2e360856f3b1c088bcd4782,823.5,27,0.18518518518518517,0.0,0.0
03dab87ff8635982815c4567eb58af48f9944d11c56beb12b91e1049aaea06e187,736.0,25,0.04,570.6,1067.3000000000002
03da1c27ca77872ac5b3e568af30673e599a47a5e4497f85c7b5da42048807b3ed,732.0,24,0.125,0.0,0.0
03e5ea100e6b1ef3959f79627cb575606b19071235c48b3e7f9808ebcd6d12e87d,640.5,21,0.19047619047619047,0.0,0.0
024d2387409269f3b79e2708bb39b895c9f4b6a8322153af54eba487d4993bf60f,518.5,17,0.4117647058823529,0.0,0.0
02f3067188240c75beb36477db63771f66c976f7e5bdd6f6ace5508396aba24815,504.0,72,0.027777777777777776,52.07,736.4699999999999
02efe789fcf1d791e9dfc9494b81a9aea7aa0c2a8744c66165d16dc47ce6b88b91,488.0,8,0.25,0.0,0.0
02927ab17049257f50d909d760bebc80ccc267edfcc1346430a04de9e569b1e190,401.59000000000003,4,0.0,0.0,0.0
038ddc73e450a4bfb52992b35be8b0f52e1a1b4726ff319249a3314a508b616cde,384.57,63,0.0,594.0,817.43
0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c,375.24,354,0.3531073446327684,599.94,78956.76
03abf6f44c355dec0d5aa155bdbdd6e0c8fefe318eff402de65c6eb2e1be55dc3e,342.98,77,0.2987012987012987,53.0,1661.98
02529db69fd2ebd3126fb66fafa234fc3544477a23d509fe93ed229bb0e92e4fb8,328.65099999999995,139,0.11510791366906475,598.65,14095.325
02d7ca7aae77a43a65a50cbf806cf7b43af2f89c1cf331f98a3415263fa2031368,320.0,4,0.0,521.0,281.0
02da0713ab1b12eeb01f212944a435077f39f1b767ee5c24b01cdb4b0b9377b66b,305.0,5,0.4,0.0,0.0
02c9cb215be13811725c1398ed6f0995eaad5844fc3cd9695e630c81a744c8740d,290.0,2,0.0,0.0,0.0
03b38f5fb693ae96fda9533c7ba45840c0afc4390544223a18dd676d858bfd5b15,250.0,10,0.0,0.0,0.0
03537fe9ed61f81500793ab65f88ed2486e98592783faa5cdef14feb2fe632164b,241.0,1,1.0,0.0,0.0
03beddc8adbf7d56a7da15cdaf95d97b24d07088c3571b421c0e6f9d551a210342,224.0,7,0.42857142857142855,0.0,0.0
0395033b252c6f40e3756984162d68174e2bd8060a129c0d3462a9370471c6d28f,200.0,8,0.0,0.0,0.0
02480676e5bda7b6c902e316c5c57b14cb7a855c287dc927f8c42abba503d64bff,184.06,4,0.0,0.0,0.0
021607cfce19a4c5e7e6e738663dfafbbbac262e4ff76c2c9b30dbeefc35c00643,167.53699999999998,84,0.08333333333333333,56.95,952.3040000000001
0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266,136.74,129,0.20155038759689922,54.5,2752.38
02a45def9ae014fdd2603dd7033d157faa3a55a72b06a63ae22ef46d9fafdc6e8d,133.8,20,0.15,53.0,220.0
02523f947272e18da0b01d70535ce2b3002a92bdfbcab4cbe123151081f395d6c5,96.25,3,0.3333333333333333,0.0,0.0
030c3f19d742ca294a55c00376b3b355c3c90d61c6b6b39554dbc7ac19b141c14f,92.22,87,0.12643678160919541,57.88,1499.16
02cdf83ef8e45908b1092125d25c68dcec7751ca8d39f557775cd842e5bc127469,91.16000000000001,86,0.16279069767441862,743.94,11083.84
02df5ffe895c778e10f7742a6c5b8a0cefbe9465df58b92fadeb883752c8107c8f,78.4,49,0.5714285714285714,28.9,958.5999999999999
02f45d28f3477a408d0d3e18a6cdedae9d58df18cf271ac84a0ce7d00699f38d19,78.0,12,0.0,24.0,105.0
02725e5abcbf5550fc29e6b19706a1377f25d2b1502684f9be9965b6deac167520,69.96000000000001,66,0.0,595.29,2911.79
032cc4541b25e86e39a7d450a979c1a9adbe2878df3a93fcb59c96c700bfe26aa3,63.56999999999999,39,0.10256410256410256,605.31,2971.1299999999997
03cb7983dc247f9f81a0fa2dfa3ce1c255365f7279c8dd143e086ca333df10e278,56.70600000000001,78,0.28205128205128205,29.77,980.192
03a5927b64b1ea8657d5b770d61a3e2d0554fdb5d568773e0d6a92907913ca21f6,52.349999999999994,50,0.18,58.95,1147.5900000000001
0374ecf61ed6c1208c42339f47decde2bc0c4393ac95f07827b3471e939d7eb961,41.34,39,0.0,58.61,257.01
